"Time stamp","System power generated | (kW)","Wind speed | (m/s)","Internal wake loss percent | (%)","Air temperature | ('C)"
"Jan 6, 04:00 pm",286522,11.96,1.38829,-23.67
"Jan 6, 05:00 pm",289208,12.06,1.51402,-23.5
"Jan 6, 06:00 pm",326543,14.26,0.335426,-23.26
"Jan 6, 07:00 pm",291523,12.14,1.55945,-22.95
"Jan 6, 08:00 pm",289528,12.08,1.46316,-22.56
"Jan 6, 09:00 pm",303243,12.56,0.992906,-22.17
"Jan 6, 10:00 pm",265722,11.39,1.98238,-21.77
"Jan 6, 11:00 pm",249159,11,2.34049,-21.36
"Jan 7, 12:00 am",252768,11.09,2.26983,-20.98
"Jan 7, 01:00 am",260453,11.28,2.16738,-20.46
"Jan 7, 02:00 am",240081,10.81,2.47839,-20.13
"Jan 7, 03:00 am",192412,9.7,2.43785,-19.71
"Jan 7, 04:00 am",170546,9.23,2.28735,-19.19
"Jan 7, 05:00 am",209667,10.05,1.35711,-18.59
"Jan 7, 06:00 am",231725,10.57,1.11925,-18.08
"Jan 7, 07:00 am",208297,10.02,1.21188,-17.67
"Jan 7, 08:00 am",184413,9.49,1.41191,-17.24
"Jan 7, 09:00 am",176715,9.36,1.73577,-16.29
"Jan 7, 10:00 am",146771,8.72,1.53142,-15.17
"Jan 7, 11:00 am",161289,9.05,1.45195,-14.14
"Jan 7, 12:00 pm",138317,8.55,1.70536,-12.98
"Jan 7, 01:00 pm",103913,7.75,1.77695,-11.96
"Jan 7, 02:00 pm",101404,7.7,2.35039,-11.12
"Jan 7, 03:00 pm",95895.9,7.56,2.93757,-10.68
"Jan 7, 04:00 pm",87332,7.37,2.36469,-10.54
"Jan 7, 05:00 pm",72649.3,7.03,4.57791,-10.58
"Jan 7, 06:00 pm",94667.3,7.61,6.02336,-10.34
"Jan 7, 07:00 pm",116431,8.17,4.9509,-10.07
"Jan 7, 08:00 pm",98047,7.7,5.15332,-9.65
"Jan 7, 09:00 pm",98565.9,7.72,5.08174,-9.12
"Jan 7, 10:00 pm",83559.2,7.38,5.90093,-8.3
"Jan 7, 11:00 pm",65331.5,6.9,6.46232,-7.63
"Jan 8, 12:00 am",23800.9,5.37,5.52442,-7.12
"Jan 8, 01:00 am",0,2.84,0,-6.71
"Jan 8, 02:00 am",0,1.54,0,-6.43
"Jan 8, 03:00 am",0,2.03,0,-6.94
"Jan 8, 04:00 am",0,3.58,0,-7.35
"Jan 8, 05:00 am",29399.6,5.64,1.86716,-8.58
"Jan 8, 06:00 am",42939.1,6.13,3.50833,-9.37
"Jan 8, 07:00 am",23824.8,5.3,2.12722,-9.93
"Jan 8, 08:00 am",11579.1,4.35,1.47827,-10.04
"Jan 8, 09:00 am",0,3.41,0,-9.91
"Jan 8, 10:00 am",0,3.34,0,-9.91
"Jan 8, 11:00 am",0,2.94,0,-9.58
"Jan 8, 12:00 pm",0,2.67,0,-9.23
"Jan 8, 01:00 pm",0,2.3,0,-8.92
"Jan 8, 02:00 pm",0,2.78,0,-8.77
"Jan 8, 03:00 pm",0,2.84,0,-8.87
"Jan 8, 04:00 pm",0,3.54,0,-9.15
