"Time stamp","System power generated | (kW)","Wind speed | (m/s)","Internal wake loss percent | (%)","Air temperature | ('C)"
"Jun 2, 10:00 pm",135511,8.92,2.204,23.87
"Jun 2, 11:00 pm",190424,10.18,1.58162,23.89
"Jun 3, 12:00 am",187315,10.09,1.26095,24.47
"Jun 3, 01:00 am",155256,9.37,1.71099,23.21
"Jun 3, 02:00 am",138803,8.97,1.83221,22.45
"Jun 3, 03:00 am",158501,9.44,1.87781,22.3
"Jun 3, 04:00 am",183511,10.04,2.93866,21.98
"Jun 3, 05:00 am",129797,8.79,2.99769,22.04
"Jun 3, 06:00 am",102536,8.05,1.55761,22.7
"Jun 3, 07:00 am",74237.9,7.33,2.20563,23.08
"Jun 3, 08:00 am",42801.5,6.37,2.25374,23.73
"Jun 3, 09:00 am",57161.4,6.85,2.35086,24.45
"Jun 3, 10:00 am",51066.6,6.67,2.32167,25.3
"Jun 3, 11:00 am",47925.5,6.57,2.28145,26.29
"Jun 3, 12:00 pm",89572.4,7.79,3.20211,26.78
"Jun 3, 01:00 pm",82013.3,7.58,2.00504,27.19
"Jun 3, 02:00 pm",86126.3,7.7,1.95307,27.7
"Jun 3, 03:00 pm",60051.1,6.98,2.95672,27.81
"Jun 3, 04:00 pm",30009.2,5.94,2.92007,27.73
"Jun 3, 05:00 pm",11184.5,4.52,2.20412,27.67
"Jun 3, 06:00 pm",0,3.67,0,27.19
"Jun 3, 07:00 pm",0,3.26,0,26.77
"Jun 3, 08:00 pm",12168.2,4.64,2.02722,25.97
"Jun 3, 09:00 pm",6450.48,4.04,14.8266,25.94
"Jun 3, 10:00 pm",39678.1,6.31,5.15476,24.36
"Jun 3, 11:00 pm",146061,9.16,1.57855,23.21
"Jun 4, 12:00 am",161231,9.5,1.529,22.11
"Jun 4, 01:00 am",129830,8.79,2.80545,21.5
"Jun 4, 02:00 am",152832,9.28,1.70846,19.2
"Jun 4, 03:00 am",0,3.46,0,19.44
"Jun 4, 04:00 am",10237.2,4.28,0.469353,19.01
"Jun 4, 05:00 am",0,2.4,0,18.85
"Jun 4, 06:00 am",16051.5,4.96,1.70667,19.08
"Jun 4, 07:00 am",100553,7.98,1.62295,19.94
"Jun 4, 08:00 am",101394,8.02,1.57992,21.63
"Jun 4, 09:00 am",156244,9.46,3.2872,22.95
"Jun 4, 10:00 am",108478,8.25,1.93379,22.92
"Jun 4, 11:00 am",83145.5,7.61,2.33,24.06
"Jun 4, 12:00 pm",138654,9.03,3.60795,21.06
"Jun 4, 01:00 pm",138449,8.96,1.81928,20.94
"Jun 4, 02:00 pm",133909,8.86,2.01367,21.04
"Jun 4, 03:00 pm",139303,8.98,2.23497,19.75
"Jun 4, 04:00 pm",179503,9.89,2.43064,18.37
"Jun 4, 05:00 pm",163675,9.52,1.792,17.27
"Jun 4, 06:00 pm",109131,8.21,2.09901,17.14
"Jun 4, 07:00 pm",139270,8.96,2.53106,16.84
"Jun 4, 08:00 pm",158251,9.36,2.2232,13.88
"Jun 4, 09:00 pm",92103.2,7.75,3.49568,14.23
"Jun 4, 10:00 pm",59490.1,6.86,2.65515,14.74
"Jun 4, 11:00 pm",66159.6,7.07,3.0527,14.86
"Jun 5, 12:00 am",25816.6,5.61,2.853,14.47
"Jun 5, 01:00 am",29802.1,5.86,4.3277,14.39
"Jun 5, 02:00 am",15595.6,4.9,2.79403,14.42
"Jun 5, 03:00 am",14384,4.78,2.07148,14.34
"Jun 5, 04:00 am",15101.2,4.84,1.84928,14.25
"Jun 5, 05:00 am",10356.4,4.31,1.19383,14.38
"Jun 5, 06:00 am",28203.6,5.76,2.42417,15.14
"Jun 5, 07:00 am",11090,4.45,2.33942,16.64
"Jun 5, 08:00 am",12756.8,4.65,2.02157,18.24
"Jun 5, 09:00 am",20862,5.35,2.68855,19.91
"Jun 5, 10:00 am",26827.8,5.7,1.90393,21.3
"Jun 5, 11:00 am",15296,4.9,1.82156,22.25
"Jun 5, 12:00 pm",10129.5,4.27,1.03665,23.05
"Jun 5, 01:00 pm",2530.49,3.91,15.5833,23.72
"Jun 5, 02:00 pm",12465,4.67,3.13439,24.14
"Jun 5, 03:00 pm",2446.82,3.91,16.1057,24.46
"Jun 5, 04:00 pm",0,3.55,0,24.46
"Jun 5, 05:00 pm",19706.1,5.29,2.29965,24.28
"Jun 5, 06:00 pm",20910.4,5.37,1.91103,23.81
"Jun 5, 07:00 pm",117626,8.45,2.15245,21.27
"Jun 5, 08:00 pm",78337.8,7.42,2.07505,20.29
"Jun 5, 09:00 pm",54223.1,6.73,2.42847,19.94
"Jun 5, 10:00 pm",39196.4,6.21,2.37306,19.61
"Jun 5, 11:00 pm",19611.9,5.25,2.22393,19.44
"Jun 6, 12:00 am",16959.3,5.07,3.96314,19.28
"Jun 6, 01:00 am",18621.7,5.19,3.39153,19.13
"Jun 6, 02:00 am",14640.7,4.86,4.44106,19.03
"Jun 6, 03:00 am",17436.1,5.08,2.10845,19.04
"Jun 6, 04:00 am",11590.8,4.52,1.33688,19.07
"Jun 6, 05:00 am",14375.9,4.8,1.95901,19.12
"Jun 6, 06:00 am",0,2.68,0,19.89
"Jun 6, 07:00 am",0,2.34,0,21.39
"Jun 6, 08:00 am",0,1.86,0,22.6
"Jun 6, 09:00 am",0,0.23,0,23.38
"Jun 6, 10:00 am",0,1.5,0,24.27
"Jun 6, 11:00 am",0,1.17,0,25.06
"Jun 6, 12:00 pm",0,2.44,0,25.69
"Jun 6, 01:00 pm",0,1.33,0,26.2
"Jun 6, 02:00 pm",0,1.07,0,26.65
"Jun 6, 03:00 pm",0,2.32,0,26.83
"Jun 6, 04:00 pm",0,2.17,0,26.83
"Jun 6, 05:00 pm",0,1.46,0,26.91
"Jun 6, 06:00 pm",0,2.63,0,26.57
"Jun 6, 07:00 pm",106036,8.18,1.57181,24.72
"Jun 6, 08:00 pm",94084.4,7.85,2.57392,23.95
"Jun 6, 09:00 pm",89847.5,7.76,3.00379,23.28
"Jun 6, 10:00 pm",62676.6,7.03,3.62857,22.74
"Jun 6, 11:00 pm",49240.1,6.63,4.6334,22.43
"Jun 7, 12:00 am",38255.9,6.22,4.51691,22.16
"Jun 7, 01:00 am",20853.6,5.35,1.84421,21.92
"Jun 7, 02:00 am",24830.2,5.58,2.14937,21.79
"Jun 7, 03:00 am",44197.2,6.42,3.14391,21.76
"Jun 7, 04:00 am",51865.7,6.69,3.63532,21.98
"Jun 7, 05:00 am",48605.1,6.58,3.38466,21.87
"Jun 7, 06:00 am",33426.9,6.04,4.44792,22.52
"Jun 7, 07:00 am",43321.2,6.4,3.08477,23.69
"Jun 7, 08:00 am",21175.9,5.4,3.07225,24.55
"Jun 7, 09:00 am",36937.2,6.16,2.58999,24.94
"Jun 7, 10:00 am",35569.1,6.13,3.74987,25.49
"Jun 7, 11:00 am",37520.8,6.2,3.12862,25.92
"Jun 7, 12:00 pm",51562.8,6.7,2.48934,26.29
"Jun 7, 01:00 pm",42024.1,6.37,2.30117,26.87
"Jun 7, 02:00 pm",137456,9,2.22354,27.01
"Jun 7, 03:00 pm",97763.8,7.98,2.72835,27.1
"Jun 7, 04:00 pm",62761.5,7.07,3.34628,26.78
"Jun 7, 05:00 pm",152037,9.36,2.29136,26.4
"Jun 7, 06:00 pm",71501.1,7.32,3.49989,25.96
"Jun 7, 07:00 pm",68856.9,7.24,4.65097,22.39
"Jun 7, 08:00 pm",25386.7,5.62,2.86591,19.68
"Jun 7, 09:00 pm",128920,8.72,1.96419,18.98
"Jun 7, 10:00 pm",89340.2,7.72,3.35129,17.45
"Jun 7, 11:00 pm",114351,8.33,2.1733,16.41
"Jun 8, 12:00 am",224461,10.88,1.31484,16.24
"Jun 8, 01:00 am",296725,12.89,0.815055,15.96
"Jun 8, 02:00 am",296611,12.92,1.21986,15.65
"Jun 8, 03:00 am",198727,10.27,1.44631,15.51
"Jun 8, 04:00 am",269909,12,0.841061,14.83
"Jun 8, 05:00 am",174326,9.73,1.84596,15.51
"Jun 8, 06:00 am",144648,9.15,4.43698,16.35
"Jun 8, 07:00 am",126912,8.68,3.58815,15.84
"Jun 8, 08:00 am",156369,9.37,2.80747,17.61
"Jun 8, 09:00 am",126384,8.67,2.5996,19.28
"Jun 8, 10:00 am",130636,8.78,2.67519,20.37
"Jun 8, 11:00 am",105442,8.15,2.21158,21.24
"Jun 8, 12:00 pm",83356.7,7.58,2.30476,22.07
"Jun 8, 01:00 pm",43122.9,6.38,2.53406,22.84
"Jun 8, 02:00 pm",51004.9,6.73,7.10309,22.75
"Jun 8, 03:00 pm",66248.5,7.11,2.31428,22.39
"Jun 8, 04:00 pm",60188.2,6.93,2.7643,21.83
"Jun 8, 05:00 pm",98179.2,7.91,2.44097,19.92
"Jun 8, 06:00 pm",109474,8.22,2.42421,17.9
"Jun 8, 07:00 pm",89000.9,7.69,3.35832,16.75
"Jun 8, 08:00 pm",91490,7.73,3.18754,15.55
"Jun 8, 09:00 pm",95138.8,7.8,3.25447,14.43
"Jun 8, 10:00 pm",30278.4,5.86,3.40641,14.01
"Jun 8, 11:00 pm",17709.4,5.08,2.86528,13.97
"Jun 9, 12:00 am",14625.1,4.8,2.4593,13.72
"Jun 9, 01:00 am",10099.2,4.19,0.632175,13.71
"Jun 9, 02:00 am",0,3.46,0,13.83
"Jun 9, 03:00 am",0,3.42,0,13.97
"Jun 9, 04:00 am",0,2.06,0,14.07
"Jun 9, 05:00 am",0,3.39,0,14.14
"Jun 9, 06:00 am",0,1.52,0,15.24
"Jun 9, 07:00 am",0,2.21,0,17.31
"Jun 9, 08:00 am",0,2.5,0,19.78
"Jun 9, 09:00 am",0,2.45,0,21.56
"Jun 9, 10:00 am",0,2.57,0,23.21
"Jun 9, 11:00 am",0,3.35,0,24.18
"Jun 9, 12:00 pm",0,2.58,0,24.63
"Jun 9, 01:00 pm",0,2.22,0,25.48
"Jun 9, 02:00 pm",44093.7,6.44,2.66194,25.51
"Jun 9, 03:00 pm",5430.46,4.03,24.7029,25.75
"Jun 9, 04:00 pm",5746.53,4.04,24.3429,25.72
"Jun 9, 05:00 pm",19155.2,5.25,1.84476,25.44
"Jun 9, 06:00 pm",151731,9.31,2.09683,23.76
"Jun 9, 07:00 pm",172606,9.78,2.0506,22.43
"Jun 9, 08:00 pm",166238,9.62,1.73603,21.46
"Jun 9, 09:00 pm",183517,9.97,1.68751,20.71
"Jun 9, 10:00 pm",190852,10.14,1.29202,20.58
"Jun 9, 11:00 pm",182016,9.93,1.71756,20.42
"Jun 10, 12:00 am",165880,9.59,1.40793,20.74
"Jun 10, 01:00 am",192356,10.19,1.35708,21.28
"Jun 10, 02:00 am",140802,9.03,2.24271,21.54
"Jun 10, 03:00 am",63573.3,7.03,2.27108,21.48
"Jun 10, 04:00 am",11483,4.51,1.26709,19.63
"Jun 10, 05:00 am",30544,5.92,4.89043,18.18
"Jun 10, 06:00 am",122000,8.53,2.00532,17.56
"Jun 10, 07:00 am",86111.8,7.64,3.24447,17.26
"Jun 10, 08:00 am",84607.1,7.6,2.86156,17.6
"Jun 10, 09:00 am",51828.1,6.68,4.51596,17.5
"Jun 10, 10:00 am",72837.9,7.26,2.35539,17.73
"Jun 10, 11:00 am",88834.2,7.7,2.45804,18.75
"Jun 10, 12:00 pm",119961,8.49,1.81101,19.14
"Jun 10, 01:00 pm",43065.5,6.41,5.03554,20.04
"Jun 10, 02:00 pm",87613.5,7.72,4.08563,20.04
"Jun 10, 03:00 pm",78135.9,7.48,4.23288,20.41
"Jun 10, 04:00 pm",98439.4,7.98,3.57219,20.52
"Jun 10, 05:00 pm",80576.2,7.54,4.07862,19.52
"Jun 10, 06:00 pm",185807,10.01,1.289,19.1
"Jun 10, 07:00 pm",180778,9.9,1.70764,18.57
"Jun 10, 08:00 pm",174153,9.79,2.35243,18.17
"Jun 10, 09:00 pm",160577,9.48,2.33683,17.7
"Jun 10, 10:00 pm",129462,8.73,1.87849,17.78
"Jun 10, 11:00 pm",61754.1,6.97,2.99026,17.42
"Jun 11, 12:00 am",15421.9,4.9,1.87393,17.58
"Jun 11, 01:00 am",0,2.44,0,18.27
"Jun 11, 02:00 am",0,2.46,0,18.18
"Jun 11, 03:00 am",0,3.36,0,17.73
"Jun 11, 04:00 am",0,2.65,0,17.47
"Jun 11, 05:00 am",0,2.23,0,17.16
"Jun 11, 06:00 am",0,1.34,0,17.51
"Jun 11, 07:00 am",0,1.95,0,18
"Jun 11, 08:00 am",0,3.76,0,17.65
"Jun 11, 09:00 am",12489.5,4.65,3.05494,18.08
"Jun 11, 10:00 am",2721.87,3.92,22.7052,20.81
"Jun 11, 11:00 am",11069.6,4.49,2.78437,21.12
"Jun 11, 12:00 pm",7634.71,4.07,13.8172,23.18
"Jun 11, 01:00 pm",29557.8,5.9,2.13798,23.2
"Jun 11, 02:00 pm",91273.7,7.8,2.39934,22.69
"Jun 11, 03:00 pm",64901.7,7.1,2.27154,23.49
"Jun 11, 04:00 pm",84851,7.66,2.63438,22.62
"Jun 11, 05:00 pm",68903.5,7.22,3.43195,21.38
"Jun 11, 06:00 pm",58389.8,6.88,2.67482,20.04
"Jun 11, 07:00 pm",43818,6.39,2.39234,18.57
"Jun 11, 08:00 pm",29880.5,5.88,2.80363,17.7
"Jun 11, 09:00 pm",12682.7,4.65,2.01989,17.27
"Jun 11, 10:00 pm",32237.1,5.97,4.00327,16.8
"Jun 11, 11:00 pm",0,3.63,0,16.58
"Jun 12, 12:00 am",10364.9,4.33,1.21707,16.45
"Jun 12, 01:00 am",0,3.4,0,16.37
"Jun 12, 02:00 am",0,3.59,0,16.33
"Jun 12, 03:00 am",0,3.07,0,16.35
"Jun 12, 04:00 am",0,3.44,0,16.46
"Jun 12, 05:00 am",0,3.79,0,16.77
"Jun 12, 06:00 am",0,2.61,0,18.2
"Jun 12, 07:00 am",0,3.65,0,20.24
"Jun 12, 08:00 am",9431.76,4.14,5.1459,22.26
"Jun 12, 09:00 am",29580.3,5.93,5.05656,24.08
"Jun 12, 10:00 am",71761.7,7.32,3.49149,25.08
"Jun 12, 11:00 am",56348,6.87,3.35449,26.26
"Jun 12, 12:00 pm",81475.1,7.62,3.96849,26.67
"Jun 12, 01:00 pm",44923.4,6.52,4.4421,27.2
"Jun 12, 02:00 pm",82831,7.65,3.35455,27.38
"Jun 12, 03:00 pm",236437,11.28,1.06893,22.27
"Jun 12, 04:00 pm",161110,9.56,2.56901,23.78
"Jun 12, 05:00 pm",32343.7,6.03,5.03426,23.9
"Jun 12, 06:00 pm",243095,11.47,2.34448,20.25
"Jun 12, 07:00 pm",102616,8.06,1.55944,22.36
"Jun 12, 08:00 pm",104721,8.12,1.49023,21.77
"Jun 12, 09:00 pm",78707.8,7.46,2.44151,21.78
"Jun 12, 10:00 pm",115611,8.41,2.5164,20.85
"Jun 12, 11:00 pm",58175.4,6.86,2.40465,20.42
"Jun 13, 12:00 am",60025.3,6.91,2.33798,19.91
"Jun 13, 01:00 am",125882,8.64,1.72605,19.33
"Jun 13, 02:00 am",158422,9.39,1.72494,18.43
"Jun 13, 03:00 am",131925,8.78,2.47006,17.71
"Jun 13, 04:00 am",118884,8.44,2.0765,17.21
"Jun 13, 05:00 am",93798.2,7.79,2.86713,16.96
"Jun 13, 06:00 am",51645.2,6.63,2.50879,16.97
"Jun 13, 07:00 am",46601.4,6.46,2.49369,17.24
"Jun 13, 08:00 am",41801.2,6.29,2.3405,17.82
"Jun 13, 09:00 am",52935,6.68,2.55093,18.72
"Jun 13, 10:00 am",28658.4,5.83,3.09437,19.86
"Jun 13, 11:00 am",30695.5,5.93,4.37026,20.88
"Jun 13, 12:00 pm",58652,6.88,2.79618,21.47
"Jun 13, 01:00 pm",86039.7,7.67,3.14181,22.19
"Jun 13, 02:00 pm",42741.4,6.36,2.30668,22.62
"Jun 13, 03:00 pm",29215.9,5.86,1.6538,22.99
"Jun 13, 04:00 pm",43054.5,6.39,3.25799,22.96
"Jun 13, 05:00 pm",20658.6,5.34,1.79043,22.77
"Jun 13, 06:00 pm",10046.1,4.21,0.69488,22.31
"Jun 13, 07:00 pm",17148.1,5.12,5.50178,22.08
"Jun 13, 08:00 pm",0,3.54,0,21.79
"Jun 13, 09:00 pm",17190.1,5.08,3.1435,20.43
"Jun 13, 10:00 pm",10426.3,4.35,1.60536,19.81
"Jun 13, 11:00 pm",16851.9,5.02,1.69721,19.45
"Jun 14, 12:00 am",19315.2,5.22,2.14898,19.32
"Jun 14, 01:00 am",18526,5.16,2.27119,19.15
"Jun 14, 02:00 am",23036,5.46,2.55024,18.86
"Jun 14, 03:00 am",17973.1,5.11,1.9361,18.76
"Jun 14, 04:00 am",23675.4,5.49,2.21364,18.66
"Jun 14, 05:00 am",20931.4,5.33,1.84586,18.61
"Jun 14, 06:00 am",23504.8,5.48,2.18952,18.97
"Jun 14, 07:00 am",18856.5,5.19,2.4204,20.04
"Jun 14, 08:00 am",11343.6,4.5,2.15345,21
"Jun 14, 09:00 am",15736.4,4.93,1.80587,21.93
"Jun 14, 10:00 am",24467.3,5.56,2.23588,22.73
"Jun 14, 11:00 am",26421.4,5.69,2.34763,23.63
"Jun 14, 12:00 pm",37224.2,6.16,2.54214,24.15
"Jun 14, 01:00 pm",68355,7.19,2.60448,24.74
"Jun 14, 02:00 pm",74696.8,7.36,2.3272,25.12
"Jun 14, 03:00 pm",98197.9,7.95,2.18691,25.47
"Jun 14, 04:00 pm",88126.4,7.73,2.51105,25.48
"Jun 14, 05:00 pm",147205,9.19,1.57605,25.13
"Jun 14, 06:00 pm",98541.6,7.96,2.3283,24.69
"Jun 14, 07:00 pm",109149,8.26,2.06592,24.04
"Jun 14, 08:00 pm",115494,8.41,1.99381,23.78
"Jun 14, 09:00 pm",155135,9.36,1.69608,23.42
"Jun 14, 10:00 pm",193234,10.22,1.2912,23.24
"Jun 14, 11:00 pm",200580,10.39,1.45588,23.15
"Jun 15, 12:00 am",233030,11.18,0.985933,23.15
"Jun 15, 01:00 am",244304,11.46,1.2967,22.98
"Jun 15, 02:00 am",238537,11.35,1.62549,23.03
"Jun 15, 03:00 am",237999,11.34,1.76317,22.84
"Jun 15, 04:00 am",231954,11.2,1.78968,22.77
"Jun 15, 05:00 am",212688,10.72,2.08463,22.64
"Jun 15, 06:00 am",232007,11.25,2.579,22.83
"Jun 15, 07:00 am",216284,10.9,3.84006,23.86
"Jun 15, 08:00 am",230010,11.17,1.8561,24.89
"Jun 15, 09:00 am",243312,11.51,1.98243,25.84
"Jun 15, 10:00 am",220690,10.92,1.49513,26.75
"Jun 15, 11:00 am",210094,10.7,1.80339,27.54
"Jun 15, 12:00 pm",277096,12.45,1.46915,27.84
"Jun 15, 01:00 pm",294809,13,0.727653,28.69
"Jun 15, 02:00 pm",311629,13.77,0.547281,28.83
"Jun 15, 03:00 pm",325434,14.98,0.12508,29.25
"Jun 15, 04:00 pm",325016,14.87,0.179517,24.91
"Jun 15, 05:00 pm",328170,15.3,0.299275,18.79
"Jun 15, 06:00 pm",314890,13.79,0.354226,20.4
"Jun 15, 07:00 pm",333779,20.88,0,20.71
"Jun 15, 08:00 pm",260915,11.83,1.01696,20.54
"Jun 15, 09:00 pm",242562,11.41,1.29824,22.07
"Jun 15, 10:00 pm",173496,9.81,2.66307,22.15
"Jun 15, 11:00 pm",107902,8.21,1.94755,21.93
"Jun 16, 12:00 am",109991,8.28,2.69287,21.8
"Jun 16, 01:00 am",76955.9,7.4,2.55735,21.8
"Jun 16, 02:00 am",121690,8.56,2.25748,21.91
"Jun 16, 03:00 am",72183.9,7.27,2.50209,22.06
"Jun 16, 04:00 am",37244.1,6.15,2.64869,22.41
"Jun 16, 05:00 am",20017.7,5.29,2.09244,22.12
"Jun 16, 06:00 am",0,3.65,0,22.91
"Jun 16, 07:00 am",0,3.17,0,24.27
"Jun 16, 08:00 am",0,2.32,0,25.62
"Jun 16, 09:00 am",0,3.53,0,26.38
"Jun 16, 10:00 am",308.764,3.85,2.49145,27.39
"Jun 16, 11:00 am",0,2.37,0,28.23
"Jun 16, 12:00 pm",19292.4,5.27,1.83239,28.89
"Jun 16, 01:00 pm",10017.9,4.23,0.691271,29.59
"Jun 16, 02:00 pm",26428,5.73,2.15609,29.91
"Jun 16, 03:00 pm",0,2.19,0,29.13
"Jun 16, 04:00 pm",24682.2,5.62,2.14872,29.62
"Jun 16, 05:00 pm",11376,4.59,4.31486,28.48
"Jun 16, 06:00 pm",184704,9.96,1.49741,19.31
"Jun 16, 07:00 pm",0,1.7,0,22.99
"Jun 16, 08:00 pm",49562.8,6.64,4.82927,21.7
"Jun 16, 09:00 pm",158500,9.48,2.46002,24.25
"Jun 16, 10:00 pm",162790,9.55,1.78379,23.14
"Jun 16, 11:00 pm",159332,9.6,4.40023,25.5
"Jun 17, 12:00 am",207481,10.62,1.83788,26.47
"Jun 17, 01:00 am",232500,11.28,2.04712,26.01
"Jun 17, 02:00 am",229394,11.14,1.48075,25.79
"Jun 17, 03:00 am",279697,12.44,0.774751,25.8
"Jun 17, 04:00 am",270529,12.16,0.816434,25.66
"Jun 17, 05:00 am",288881,12.75,0.612872,25.63
"Jun 17, 06:00 am",313596,13.81,0.469001,26.05
"Jun 17, 07:00 am",295965,13,0.836068,26.46
"Jun 17, 08:00 am",10919.2,4.45,1.66458,24.39
"Jun 17, 09:00 am",998.479,3.87,13.9752,26.22
"Jun 17, 10:00 am",35877,6.15,3.56794,27.16
"Jun 17, 11:00 am",174914,9.88,1.90036,28.3
"Jun 17, 12:00 pm",171233,9.83,2.12903,29.59
"Jun 17, 01:00 pm",99478.3,8.04,1.96722,30.81
"Jun 17, 02:00 pm",124327,8.71,1.62049,31.43
"Jun 17, 03:00 pm",96870.6,8.01,3.35292,31.85
"Jun 17, 04:00 pm",63792.2,7.12,2.53907,31.87
"Jun 17, 05:00 pm",99533.7,8.05,1.7995,31.78
"Jun 17, 06:00 pm",157410,9.53,2.37187,31.07
"Jun 17, 07:00 pm",163883,9.66,1.76998,30.3
"Jun 17, 08:00 pm",78134.7,7.5,2.19756,29.94
"Jun 17, 09:00 pm",245363,11.43,1.18223,19.66
"Jun 17, 10:00 pm",19243.3,5.24,2.52129,21.38
"Jun 17, 11:00 pm",52388.1,6.7,3.43886,21.16
"Jun 18, 12:00 am",16845,5.06,3.421,21.07
"Jun 18, 01:00 am",16105.6,4.97,1.82323,21.54
"Jun 18, 02:00 am",35413.1,6.1,3.4445,22.54
"Jun 18, 03:00 am",18544.4,5.2,1.84593,25.75
"Jun 18, 04:00 am",62554.3,7.01,2.40278,23.66
"Jun 18, 05:00 am",34780.6,6.07,2.77415,22.83
"Jun 18, 06:00 am",0,3.69,0,24.95
"Jun 18, 07:00 am",15821.2,4.99,2.66814,27.9
"Jun 18, 08:00 am",62253.2,7.06,3.46441,28.7
"Jun 18, 09:00 am",85119.7,7.71,3.04719,29.3
"Jun 18, 10:00 am",101635,8.11,2.35254,29.79
"Jun 18, 11:00 am",129434,8.84,2.26581,30.54
"Jun 18, 12:00 pm",94295,7.92,2.86242,30.57
"Jun 18, 01:00 pm",78171.9,7.51,2.30722,30.78
"Jun 18, 02:00 pm",232858,11.28,0.903,31.66
"Jun 18, 03:00 pm",194010,10.34,1.30937,31.71
"Jun 18, 04:00 pm",98190.7,8.01,2.0864,31.83
"Jun 18, 05:00 pm",91433.8,7.88,3.25823,31.68
"Jun 18, 06:00 pm",37017.2,6.21,2.56949,31.35
"Jun 18, 07:00 pm",68896.5,7.3,4.6657,30.96
"Jun 18, 08:00 pm",19632.7,5.27,1.81561,23.79
"Jun 18, 09:00 pm",29741.3,5.9,2.37274,24.72
"Jun 18, 10:00 pm",48001.8,6.55,2.63986,22.18
"Jun 18, 11:00 pm",54677.1,6.77,3.25583,21.93
"Jun 19, 12:00 am",0,3.81,0,22.32
"Jun 19, 01:00 am",23514.9,5.51,2.28099,22.25
"Jun 19, 02:00 am",22147.9,5.43,2.32209,22.17
"Jun 19, 03:00 am",34541,6.06,3.62749,21.45
"Jun 19, 04:00 am",37055.1,6.15,3.45067,21.54
"Jun 19, 05:00 am",21318.8,5.39,3.30757,21.64
"Jun 19, 06:00 am",19859.3,5.3,3.5864,22.24
"Jun 19, 07:00 am",19606.8,5.27,2.47162,23.37
"Jun 19, 08:00 am",12388.5,4.65,2.26878,25.06
"Jun 19, 09:00 am",3019.7,3.93,12.5993,27.06
"Jun 19, 10:00 am",0,3.15,0,28.35
"Jun 19, 11:00 am",0,2.82,0,29.55
"Jun 19, 12:00 pm",0,1.76,0,30.31
"Jun 19, 01:00 pm",17146.2,5.07,2.66506,21.1
"Jun 19, 02:00 pm",10428.6,4.37,1.17186,25.1
"Jun 19, 03:00 pm",10892.5,4.46,2.07215,25.89
"Jun 19, 04:00 pm",13926.5,4.8,1.91591,27.05
"Jun 19, 05:00 pm",38820.1,6.25,2.70727,27.25
"Jun 19, 06:00 pm",30148.6,5.95,4.013,27.31
"Jun 19, 07:00 pm",67704.2,7.2,3.03514,26.92
"Jun 19, 08:00 pm",54280.7,6.78,2.64493,26.41
"Jun 19, 09:00 pm",235555,11.22,1.05254,21.17
"Jun 19, 10:00 pm",62909.4,7.02,3.71149,20.61
"Jun 19, 11:00 pm",45795.7,6.46,2.93371,20.15
"Jun 20, 12:00 am",0,1.58,0,20.24
"Jun 20, 01:00 am",0,3.35,0,20.65
"Jun 20, 02:00 am",24289.4,5.56,3.03291,21.45
"Jun 20, 03:00 am",0,2.73,0,21.17
"Jun 20, 04:00 am",0,2.24,0,20.98
"Jun 20, 05:00 am",0,3.7,0,20.83
"Jun 20, 06:00 am",4908.12,3.97,16.2715,21.18
"Jun 20, 07:00 am",0,3.33,0,22.83
"Jun 20, 08:00 am",0,3.12,0,24.38
"Jun 20, 09:00 am",3254.01,3.94,15.5418,26.06
"Jun 20, 10:00 am",15503.2,4.96,2.83164,27.19
"Jun 20, 11:00 am",32443,6.03,3.80407,27.33
"Jun 20, 12:00 pm",18655.5,5.22,1.97325,27.24
"Jun 20, 01:00 pm",74447.1,7.39,2.37673,28.59
"Jun 20, 02:00 pm",75546.3,7.43,2.56977,29.26
"Jun 20, 03:00 pm",92096.6,7.88,3.40757,29.6
"Jun 20, 04:00 pm",85593.1,7.71,2.23163,29.3
"Jun 20, 05:00 pm",73417.7,7.37,2.55083,28.93
"Jun 20, 06:00 pm",28436.3,5.85,1.70442,28.37
"Jun 20, 07:00 pm",6777.4,4.07,19.7642,27.69
"Jun 20, 08:00 pm",27782,5.8,2.26895,25.86
"Jun 20, 09:00 pm",44525.8,6.47,3.85142,25.01
"Jun 20, 10:00 pm",29086.6,5.88,2.42852,24.57
"Jun 20, 11:00 pm",11717.5,4.58,2.0666,24.11
"Jun 21, 12:00 am",1622.87,3.88,14.0576,23.73
"Jun 21, 01:00 am",0,3.68,0,23.37
"Jun 21, 02:00 am",10030.1,4.2,0.526423,22.86
"Jun 21, 03:00 am",0,3.71,0,22.33
"Jun 21, 04:00 am",3285.71,3.92,12.293,22
"Jun 21, 05:00 am",0,2.33,0,21.86
"Jun 21, 06:00 am",0,2.14,0,22.46
"Jun 21, 07:00 am",0,2.88,0,23.56
"Jun 21, 08:00 am",0,3.2,0,24.96
"Jun 21, 09:00 am",0,1.79,0,26.58
"Jun 21, 10:00 am",0,1.61,0,27.73
"Jun 21, 11:00 am",0,2,0,28.76
"Jun 21, 12:00 pm",0,2.7,0,29.26
"Jun 21, 01:00 pm",0,3.59,0,29.91
"Jun 21, 02:00 pm",12936.4,4.74,2.57065,30.23
"Jun 21, 03:00 pm",27945.8,5.84,1.9113,30.61
"Jun 21, 04:00 pm",50669.7,6.71,2.27243,31.19
"Jun 21, 05:00 pm",312303,13.67,0.51579,20.59
"Jun 21, 06:00 pm",102743,8.06,1.99153,21
